date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2026-06-02,ANDROID,dhgate_product332_T1_Purchase 30D_purchase_IAP_Kelsey_20260511,xRPnz3ozCwa6ycwg,50.11,7689,586,,,,,,,,,
2026-06-02,IOS,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,pMbmqjxpXWy9uySH,48.51,7784,713,,,,,,,,,
2026-06-02,ANDROID,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,Hi3okRpzvLX7H2oQ,45.85,5221,1954,,,,,,,,,
2026-06-02,IOS,dhgate_product370_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260602,u2rFWDCBsR8FziTt,14.19,510,246,,,,,,,,,
2026-06-02,IOS,dhgate_product336_T1_Purchase 30D_purchase_IAP_Kelsey_20260512,IbA1O59ht1JcwImf,50.16,2998,500,,,,,,,,,
2026-06-02,ANDROID,dhgate_product369_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260601,n7f3WCGhTngQWJhC,39.92,2904,1095,,,,,,,,,
2026-06-02,IOS,dhgate_product369_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260601,c3VF4BRyeEfmmeHV,43.02,1638,825,,,,,,,,,
2026-06-02,IOS,dhgate_product368_T1_Purchase 30D_purchase_IAP_Kelsey_20260531,Ta2k2BeVyS7dWN4n,36.07,1630,743,,,,,,,,,
2026-06-02,ANDROID,dhgate_product368_T1_Purchase 30D_purchase_IAP_Kelsey_20260531,b3s2CGS3sMxfFWgV,47.16,2815,876,,,,,,,,,
2026-06-02,ANDROID,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,AsUotp8z2P369W1o,44.62,2669,707,,,,,,,,,
2026-06-02,IOS,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,B6nfe2NZpKCjpgca,16.06,418,228,,,,,,,,,
2026-06-02,IOS,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,AuNEgf9zqO65aSdr,32.53,1172,254,,,,,,,,,
2026-06-02,ANDROID,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,tlDSznDFDWyzbPVr,48.87,1793,522,,,,,,,,,
2026-06-02,ANDROID,dhgate_product370_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260602,FhZfCMsFGbjzmgDR,7.47,586,237,,,,,,,,,
2026-06-02,IOS,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,gisdp4kMGc6WK5GP,46.9,982,454,,,,,,,,,
2026-06-02,ANDROID,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,WNhjy86kVGDJDol3,33.86,1507,251,,,,,,,,,
2026-06-02,IOS,dhgate_product340_US_Purchase 30D_purchase_IAP_Kelsey_20260516,yznk4uz7IRlNu5TH,50.3,1124,550,,,,,,,,,
